text,topic,emotion_pred,emotion_confidence
Durante gli esami e se devo interagire con gli insegnanti e i colleghi,2,neutral,0.9976
Durante gli esami ,1,neutral,0.9976
Interazione con persone (clienti) ,1,neutral,0.9973
"Durante il tirocinio, quando devo mettere effettivamente in pratica le cose che ho studiato.",2,neutral,0.9954
"Durate una attivtà di aggiornamento sistema al lavoro, attività piena di rischi e parecchio lunga (qualche giorno a volte( ",1,negative,0.7329
"Situazioni in cui devo affrontare colloqui che determinano la mia reputazione o la mia carriera lavorativa. Ma la percepisco come “un’ansia sana”, che mi permette di tenere alta la concentrazione e di fare un performance più brillante",3,positive,0.7594
"La parte esecutiva dei progetti da fare a casa, scaglionata a scadenze con revisioni. A casa, nell'agio, le limitazioni mi impediscono quasi completamente di lavorare.",4,neutral,0.8597
"Ho ansia nel cucinare per me stesso, dando il massimo e avere paura che il cibo non mi soddisfa",3,negative,0.9926
"Di studio sicuramente l'esame orale è quello che mi dà più ansia. 
Di lavoro avere mille incombenze che spesso non sono neanche nelle mie corde da fare",4,negative,0.6277
"Quando sbaglio qualcosa e devo rendere conto del mio errore: in questo caso l’ansia mi blocca e non riesco a difendermi, balbetto un pochino e anche se provo ad arrampicarmi sugli specchi non riesco. Pertanto questo comportamento mi porta, oltre a confermare il mio errore, a fare una brutta figura davanti al mio responsabile. ",2,negative,0.9939
Lo svolgimento di un esame scritto ,3,neutral,0.9963
Quando mi capita di confontarsi per un consiglio medico sul mio lavoro con i colleghi,2,neutral,0.9762
Quando ho un'interrogazione o devo svolgere un compito nuovo ho l'ansia di sbagliare e dimenticarmi tutto.,3,negative,0.9246
"Prima di qualsiasi situazione in cui ci siano diverse persone a guardarmi e, in generale, dove sono io il ""protagonista"" della situazione mi ritrovo a fare mille pensieri su cosa potrebbe andare male e che andrà tutto per il peggio. Comincia a mancarmi il respiro e ho i battiti accelerati. Cerco di fare respiri profondi e calmarmi ma non sempre è efficace.",2,negative,0.9949
Ansia da esame e rapporto con docenti e colleghi,2,neutral,0.9952
Lavorare in contesti che non conosco per nulla. Aver paura del nuovo e della novità. ,3,neutral,0.7849
esame orale: dal giorno precedente fino a pochi minuti dall'inizio. ,3,neutral,0.9971
(forse importante per il sondaggio: soffro di disturbo d'ansia generalizzato) Sento maggiormente ansia durante gli esami e lungo tutta la loro preparazione; nel momento in cui devo confrontarmi con superiori con i quali non ho confidenza/ che non conosco.,2,negative,0.8755
