text,text_clean,sentiment_pred,sentiment_proba,sentiment_label
Durante gli esami e se devo interagire con gli insegnanti e i colleghi,durante gli esami e se devo interagire con gli insegnanti e i colleghi,0,0.06257773,Negativo
Durante gli esami ,durante gli esami,0,0.06257773,Negativo
Interazione con persone (clienti) ,interazione con persone clienti,0,0.06257773,Negativo
"Durante il tirocinio, quando devo mettere effettivamente in pratica le cose che ho studiato.",durante il tirocinio quando devo mettere effettivamente in pratica le cose che ho studiato,0,0.06257773,Negativo
"Durate una attivtà di aggiornamento sistema al lavoro, attività piena di rischi e parecchio lunga (qualche giorno a volte( ",durate una attivt di aggiornamento sistema al lavoro attivit piena di rischi e parecchio lunga qualche giorno a volte,0,0.06257774,Negativo
"Situazioni in cui devo affrontare colloqui che determinano la mia reputazione o la mia carriera lavorativa. Ma la percepisco come “un’ansia sana”, che mi permette di tenere alta la concentrazione e di fare un performance più brillante",situazioni in cui devo affrontare colloqui che determinano la mia reputazione o la mia carriera lavorativa ma la percepisco come unansia sana che mi permette di tenere alta la concentrazione e di fare un performance pi brillante,0,0.06257791,Negativo
"La parte esecutiva dei progetti da fare a casa, scaglionata a scadenze con revisioni. A casa, nell'agio, le limitazioni mi impediscono quasi completamente di lavorare.",la parte esecutiva dei progetti da fare a casa scaglionata a scadenze con revisioni a casa nellagio le limitazioni mi impediscono quasi completamente di lavorare,0,0.06257776,Negativo
"Ho ansia nel cucinare per me stesso, dando il massimo e avere paura che il cibo non mi soddisfa",ho ansia nel cucinare per me stesso dando il massimo e avere paura che il cibo non mi soddisfa,0,0.06257774,Negativo
"Di studio sicuramente l'esame orale è quello che mi dà più ansia. 
Di lavoro avere mille incombenze che spesso non sono neanche nelle mie corde da fare",di studio sicuramente lesame orale quello che mi d pi ansia di lavoro avere mille incombenze che spesso non sono neanche nelle mie corde da fare,0,0.06257776,Negativo
"Quando sbaglio qualcosa e devo rendere conto del mio errore: in questo caso l’ansia mi blocca e non riesco a difendermi, balbetto un pochino e anche se provo ad arrampicarmi sugli specchi non riesco. Pertanto questo comportamento mi porta, oltre a confermare il mio errore, a fare una brutta figura davanti al mio responsabile. ",quando sbaglio qualcosa e devo rendere conto del mio errore in questo caso lansia mi blocca e non riesco a difendermi balbetto un pochino e anche se provo ad arrampicarmi sugli specchi non riesco pertanto questo comportamento mi porta oltre a confermare il mio errore a fare una brutta figura davanti al mio responsabile,0,0.06257986,Negativo
Lo svolgimento di un esame scritto ,lo svolgimento di un esame scritto,0,0.06257773,Negativo
Quando mi capita di confontarsi per un consiglio medico sul mio lavoro con i colleghi,quando mi capita di confontarsi per un consiglio medico sul mio lavoro con i colleghi,0,0.06257773,Negativo
Quando ho un'interrogazione o devo svolgere un compito nuovo ho l'ansia di sbagliare e dimenticarmi tutto.,quando ho uninterrogazione o devo svolgere un compito nuovo ho lansia di sbagliare e dimenticarmi tutto,0,0.06257773,Negativo
"Prima di qualsiasi situazione in cui ci siano diverse persone a guardarmi e, in generale, dove sono io il ""protagonista"" della situazione mi ritrovo a fare mille pensieri su cosa potrebbe andare male e che andrà tutto per il peggio. Comincia a mancarmi il respiro e ho i battiti accelerati. Cerco di fare respiri profondi e calmarmi ma non sempre è efficace.",prima di qualsiasi situazione in cui ci siano diverse persone a guardarmi e in generale dove sono io il protagonista della situazione mi ritrovo a fare mille pensieri su cosa potrebbe andare male e che andr tutto per il peggio comincia a mancarmi il respiro e ho i battiti accelerati cerco di fare respiri profondi e calmarmi ma non sempre efficace,0,0.06258444,Negativo
Ansia da esame e rapporto con docenti e colleghi,ansia da esame e rapporto con docenti e colleghi,0,0.06257773,Negativo
Lavorare in contesti che non conosco per nulla. Aver paura del nuovo e della novità. ,lavorare in contesti che non conosco per nulla aver paura del nuovo e della novit,0,0.06257773,Negativo
esame orale: dal giorno precedente fino a pochi minuti dall'inizio. ,esame orale dal giorno precedente fino a pochi minuti dallinizio,0,0.0625777,Negativo
(forse importante per il sondaggio: soffro di disturbo d'ansia generalizzato) Sento maggiormente ansia durante gli esami e lungo tutta la loro preparazione; nel momento in cui devo confrontarmi con superiori con i quali non ho confidenza/ che non conosco.,forse importante per il sondaggio soffro di disturbo dansia generalizzato sento maggiormente ansia durante gli esami e lungo tutta la loro preparazione nel momento in cui devo confrontarmi con superiori con i quali non ho confidenza che non conosco,0,0.06257798,Negativo
L'attesa dell'esame dalla sera prima a poco prima di farlo,lattesa dellesame dalla sera prima a poco prima di farlo,0,0.06257773,Negativo
Parlare davanti alle persone/un pubblico,parlare davanti alle personeun pubblico,0,0.06257773,Negativo
