text,text_clean,topic,topic_confidence,p_topic1,p_topic2,p_topic3,p_topic4
Durante gli esami e se devo interagire con gli insegnanti e i colleghi,durante gli esami e se devo interagire con gli insegnanti e i colleghi,2,0.9680807609921627,0.01064137289888594,0.9680807609921627,0.010638297872341246,0.010639568236610296
Durante gli esami ,durante gli esami,1,0.9117552012984471,0.9117552012984471,0.029416085818124958,0.029411764705882734,0.029416948177545216
Interazione con persone (clienti) ,interazione con persone clienti,1,0.9318160248978798,0.9318160248978798,0.022727976425479045,0.02272872594936766,0.022727272727273557
"Durante il tirocinio, quando devo mettere effettivamente in pratica le cose che ho studiato.",durante il tirocinio quando devo mettere effettivamente in pratica le cose che ho studiato,2,0.9531174443772483,0.015628076783642635,0.9531174443772483,0.015625000000001568,0.015629478839107595
"Durate una attivtà di aggiornamento sistema al lavoro, attività piena di rischi e parecchio lunga (qualche giorno a volte( ",durate una attivtà di aggiornamento sistema al lavoro attività piena di rischi e parecchio lunga qualche giorno a volte,1,0.9594585905067149,0.9594585905067149,0.013513742133093275,0.013514089371047257,0.013513577989144621
"Situazioni in cui devo affrontare colloqui che determinano la mia reputazione o la mia carriera lavorativa. Ma la percepisco come “un’ansia sana”, che mi permette di tenere alta la concentrazione e di fare un performance più brillante",situazioni in cui devo affrontare colloqui che determinano la mia reputazione o la mia carriera lavorativa ma la percepisco come unansia sana che mi permette di tenere alta la concentrazione e di fare un performance più brillante,3,0.9827574177626712,0.005747487683660005,0.005747443187670079,0.9827574177626712,0.005747651365998751
"La parte esecutiva dei progetti da fare a casa, scaglionata a scadenze con revisioni. A casa, nell'agio, le limitazioni mi impediscono quasi completamente di lavorare.",la parte esecutiva dei progetti da fare a casa scaglionata a scadenze con revisioni a casa nellagio le limitazioni mi impediscono quasi completamente di lavorare,4,0.9758059450305383,0.008064516129032927,0.008064681653761193,0.008064857186667558,0.9758059450305383
"Ho ansia nel cucinare per me stesso, dando il massimo e avere paura che il cibo non mi soddisfa",ho ansia nel cucinare per me stesso dando il massimo e avere paura che il cibo non mi soddisfa,3,0.9680824003899837,0.010638792102237707,0.010639241376701391,0.9680824003899837,0.010639566131077085
"Di studio sicuramente l'esame orale è quello che mi dà più ansia. 
Di lavoro avere mille incombenze che spesso non sono neanche nelle mie corde da fare",di studio sicuramente lesame orale è quello che mi dà più ansia di lavoro avere mille incombenze che spesso non sono neanche nelle mie corde da fare,4,0.9791625526811852,0.0069460720176953705,0.0069463518856240376,0.006945023415495357,0.9791625526811852
"Quando sbaglio qualcosa e devo rendere conto del mio errore: in questo caso l’ansia mi blocca e non riesco a difendermi, balbetto un pochino e anche se provo ad arrampicarmi sugli specchi non riesco. Pertanto questo comportamento mi porta, oltre a confermare il mio errore, a fare una brutta figura davanti al mio responsabile. ",quando sbaglio qualcosa e devo rendere conto del mio errore in questo caso lansia mi blocca e non riesco a difendermi balbetto un pochino e anche se provo ad arrampicarmi sugli specchi non riesco pertanto questo comportamento mi porta oltre a confermare il mio errore a fare una brutta figura davanti al mio responsabile,2,0.9890499232262566,0.0036498545305334294,0.9890499232262566,0.0036499104875955825,0.003650311755614247
Lo svolgimento di un esame scritto ,lo svolgimento di un esame scritto,3,0.874983378051656,0.041676710402688354,0.04167040634327174,0.874983378051656,0.04166950520238395
